betriebe_id,jahr,kompartiment,jahresfracht,jahresfracht_versehentlich,jahresfracht_nichtbiogen,stoff_name,stoff_gruppe,stoff_casnummer,stoff_schwellenwert,bestimmungsmethode,bestimmungsverfahren,name,kennnummer,wgs84_x,wgs84_y,anschrift,bundesland,flusseinzugsgebiet,muttergesellschaft,eigentuemer,betreiber,nace_code,nace_text,prtr_beschreibung,ivu_beschreibung,branchengruppe
178264,2013,Boden,68.0,0.0,,Arsen und Verbindungen (als As),Schwermetalle,,5.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98085274575313,50.839191445938,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
157884,2012,Boden,26.0,0.0,,Arsen und Verbindungen (als As),Schwermetalle,,5.0,Messung,ALT,Werk Werra Standort Wintershall,06-90032200632,9.99585860923971,50.8935887965668,"In der Aue 1
36262 Heringen (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
50708,2008,Boden,58.3,0.0,,Arsen und Verbindungen (als As),Schwermetalle,,5.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98088453866135,50.8391672174092,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S KALI GmbH Werk Werra,,,893,Gewinnung von Salz,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
178265,2013,Boden,23.0,0.0,,Arsen und Verbindungen (als As),Schwermetalle,,5.0,Messung,ALT,Werk Werra Standort Wintershall,06-90032200632,9.99585860923971,50.8935887965668,"In der Aue 1
36262 Heringen (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
182371,2014,Boden,25.1,0.0,,Arsen und Verbindungen (als As),Schwermetalle,,5.0,Messung,ALT,Werk Werra Standort Wintershall,06-90032200632,9.99585860923971,50.8935887965668,"In der Aue 1
36262 Heringen (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
182379,2014,Boden,70.6,0.0,,Arsen und Verbindungen (als As),Schwermetalle,,5.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98085274575313,50.839191445938,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
84980,2011,Boden,36.0,0.0,,Arsen und Verbindungen (als As),Schwermetalle,,5.0,Messung,ALT,Werk Werra Standort Wintershall,06-90032200632,9.99588482432175,50.8935607742404,"In der Aue 1
36262 Heringen (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
54780,2009,Boden,24.0,0.0,,Arsen und Verbindungen (als As),Schwermetalle,,5.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98088453866135,50.8391672174092,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,893,Gewinnung von Salz,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
84981,2011,Boden,162.0,0.0,,Arsen und Verbindungen (als As),Schwermetalle,,5.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98088453866135,50.8391672174092,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
50753,2008,Boden,34.4,0.0,,Arsen und Verbindungen (als As),Schwermetalle,,5.0,Messung,ALT,Werk Werra Standort Wintershall,06-90032200632,9.99588482432175,50.8935607742404,"In der Aue 1
36262 Heringen (Werra)",Hessen,Weser,K+S KALI GmbH Werk Werra,,,893,Gewinnung von Salz,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
78242,2010,Boden,54.0,0.0,,Arsen und Verbindungen (als As),Schwermetalle,,5.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98088453866135,50.8391672174092,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,893,Gewinnung von Salz,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
157885,2012,Boden,89.0,0.0,,Arsen und Verbindungen (als As),Schwermetalle,,5.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98085274575313,50.839191445938,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
78243,2010,Boden,45.0,0.0,,Arsen und Verbindungen (als As),Schwermetalle,,5.0,Messung,ALT,Werk Werra Standort Wintershall,06-90032200632,9.99588482432175,50.8935607742404,"In der Aue 1
36262 Heringen (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,893,Gewinnung von Salz,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
54814,2009,Boden,41.3,0.0,,Arsen und Verbindungen (als As),Schwermetalle,,5.0,Messung,ALT,Werk Werra Standort Wintershall,06-90032200632,9.99588482432175,50.8935607742404,"In der Aue 1
36262 Heringen (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,893,Gewinnung von Salz,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
54780,2009,Boden,59.3,0.0,,Chrom und Verbindungen (als Cr),Schwermetalle,,50.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98088453866135,50.8391672174092,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,893,Gewinnung von Salz,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
84981,2011,Boden,85.0,0.0,,Chrom und Verbindungen (als Cr),Schwermetalle,,50.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98088453866135,50.8391672174092,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
78242,2010,Boden,60.0,0.0,,Chrom und Verbindungen (als Cr),Schwermetalle,,50.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98088453866135,50.8391672174092,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,893,Gewinnung von Salz,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
157885,2012,Boden,107.0,0.0,,Chrom und Verbindungen (als Cr),Schwermetalle,,50.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98085274575313,50.839191445938,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
50708,2008,Boden,152.0,0.0,,Chrom und Verbindungen (als Cr),Schwermetalle,,50.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98088453866135,50.8391672174092,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S KALI GmbH Werk Werra,,,893,Gewinnung von Salz,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
178264,2013,Boden,97.0,0.0,,Chrom und Verbindungen (als Cr),Schwermetalle,,50.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98085274575313,50.839191445938,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
182379,2014,Boden,101.0,0.0,,Chrom und Verbindungen (als Cr),Schwermetalle,,50.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98085274575313,50.839191445938,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
50708,2008,Boden,3440.0,0.0,,Kupfer und Verbindungen (als Cu),Schwermetalle,,50.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98088453866135,50.8391672174092,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S KALI GmbH Werk Werra,,,893,Gewinnung von Salz,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
178264,2013,Boden,1140.0,0.0,,Kupfer und Verbindungen (als Cu),Schwermetalle,,50.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98085274575313,50.839191445938,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
182379,2014,Boden,1210.0,0.0,,Kupfer und Verbindungen (als Cu),Schwermetalle,,50.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98085274575313,50.839191445938,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
84981,2011,Boden,2050.0,0.0,,Kupfer und Verbindungen (als Cu),Schwermetalle,,50.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98088453866135,50.8391672174092,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
54814,2009,Boden,590.0,0.0,,Kupfer und Verbindungen (als Cu),Schwermetalle,,50.0,Messung,ALT,Werk Werra Standort Wintershall,06-90032200632,9.99588482432175,50.8935607742404,"In der Aue 1
36262 Heringen (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,893,Gewinnung von Salz,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
157884,2012,Boden,446.0,0.0,,Kupfer und Verbindungen (als Cu),Schwermetalle,,50.0,Messung,ALT,Werk Werra Standort Wintershall,06-90032200632,9.99585860923971,50.8935887965668,"In der Aue 1
36262 Heringen (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
84980,2011,Boden,392.0,0.0,,Kupfer und Verbindungen (als Cu),Schwermetalle,,50.0,Messung,ALT,Werk Werra Standort Wintershall,06-90032200632,9.99588482432175,50.8935607742404,"In der Aue 1
36262 Heringen (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
178265,2013,Boden,290.0,0.0,,Kupfer und Verbindungen (als Cu),Schwermetalle,,50.0,Messung,ALT,Werk Werra Standort Wintershall,06-90032200632,9.99585860923971,50.8935887965668,"In der Aue 1
36262 Heringen (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
182371,2014,Boden,610.0,0.0,,Kupfer und Verbindungen (als Cu),Schwermetalle,,50.0,Messung,ALT,Werk Werra Standort Wintershall,06-90032200632,9.99585860923971,50.8935887965668,"In der Aue 1
36262 Heringen (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
50753,2008,Boden,786.0,0.0,,Kupfer und Verbindungen (als Cu),Schwermetalle,,50.0,Messung,ALT,Werk Werra Standort Wintershall,06-90032200632,9.99588482432175,50.8935607742404,"In der Aue 1
36262 Heringen (Werra)",Hessen,Weser,K+S KALI GmbH Werk Werra,,,893,Gewinnung von Salz,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
54780,2009,Boden,909.0,0.0,,Kupfer und Verbindungen (als Cu),Schwermetalle,,50.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98088453866135,50.8391672174092,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,893,Gewinnung von Salz,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
78243,2010,Boden,589.0,0.0,,Kupfer und Verbindungen (als Cu),Schwermetalle,,50.0,Messung,ALT,Werk Werra Standort Wintershall,06-90032200632,9.99588482432175,50.8935607742404,"In der Aue 1
36262 Heringen (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,893,Gewinnung von Salz,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
78242,2010,Boden,1990.0,0.0,,Kupfer und Verbindungen (als Cu),Schwermetalle,,50.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98088453866135,50.8391672174092,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,893,Gewinnung von Salz,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
157885,2012,Boden,1630.0,0.0,,Kupfer und Verbindungen (als Cu),Schwermetalle,,50.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98085274575313,50.839191445938,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
84980,2011,Boden,44.0,0.0,,Nickel und Verbindungen (als Ni),Schwermetalle,,20.0,Messung,ALT,Werk Werra Standort Wintershall,06-90032200632,9.99588482432175,50.8935607742404,"In der Aue 1
36262 Heringen (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
50753,2008,Boden,66.2,0.0,,Nickel und Verbindungen (als Ni),Schwermetalle,,20.0,Messung,ALT,Werk Werra Standort Wintershall,06-90032200632,9.99588482432175,50.8935607742404,"In der Aue 1
36262 Heringen (Werra)",Hessen,Weser,K+S KALI GmbH Werk Werra,,,893,Gewinnung von Salz,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
78242,2010,Boden,151.0,0.0,,Nickel und Verbindungen (als Ni),Schwermetalle,,20.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98088453866135,50.8391672174092,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,893,Gewinnung von Salz,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
84981,2011,Boden,214.0,0.0,,Nickel und Verbindungen (als Ni),Schwermetalle,,20.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98088453866135,50.8391672174092,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
78243,2010,Boden,50.0,0.0,,Nickel und Verbindungen (als Ni),Schwermetalle,,20.0,Messung,ALT,Werk Werra Standort Wintershall,06-90032200632,9.99588482432175,50.8935607742404,"In der Aue 1
36262 Heringen (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,893,Gewinnung von Salz,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
182371,2014,Boden,32.7,0.0,,Nickel und Verbindungen (als Ni),Schwermetalle,,20.0,Messung,ALT,Werk Werra Standort Wintershall,06-90032200632,9.99585860923971,50.8935887965668,"In der Aue 1
36262 Heringen (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
157885,2012,Boden,142.0,0.0,,Nickel und Verbindungen (als Ni),Schwermetalle,,20.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98085274575313,50.839191445938,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
50708,2008,Boden,285.0,0.0,,Nickel und Verbindungen (als Ni),Schwermetalle,,20.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98088453866135,50.8391672174092,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S KALI GmbH Werk Werra,,,893,Gewinnung von Salz,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
54780,2009,Boden,102.0,0.0,,Nickel und Verbindungen (als Ni),Schwermetalle,,20.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98088453866135,50.8391672174092,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,893,Gewinnung von Salz,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
182379,2014,Boden,126.0,0.0,,Nickel und Verbindungen (als Ni),Schwermetalle,,20.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98085274575313,50.839191445938,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
54814,2009,Boden,56.6,0.0,,Nickel und Verbindungen (als Ni),Schwermetalle,,20.0,Messung,ALT,Werk Werra Standort Wintershall,06-90032200632,9.99588482432175,50.8935607742404,"In der Aue 1
36262 Heringen (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,893,Gewinnung von Salz,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
178264,2013,Boden,121.0,0.0,,Nickel und Verbindungen (als Ni),Schwermetalle,,20.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98085274575313,50.839191445938,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
157884,2012,Boden,39.0,0.0,,Nickel und Verbindungen (als Ni),Schwermetalle,,20.0,Messung,ALT,Werk Werra Standort Wintershall,06-90032200632,9.99585860923971,50.8935887965668,"In der Aue 1
36262 Heringen (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
178265,2013,Boden,24.0,0.0,,Nickel und Verbindungen (als Ni),Schwermetalle,,20.0,Messung,ALT,Werk Werra Standort Wintershall,06-90032200632,9.99585860923971,50.8935887965668,"In der Aue 1
36262 Heringen (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
50708,2008,Boden,66.4,0.0,,Blei und Verbindungen (als Pb),Schwermetalle,,20.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98088453866135,50.8391672174092,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S KALI GmbH Werk Werra,,,893,Gewinnung von Salz,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
50753,2008,Boden,27.0,0.0,,Blei und Verbindungen (als Pb),Schwermetalle,,20.0,Messung,ALT,Werk Werra Standort Wintershall,06-90032200632,9.99588482432175,50.8935607742404,"In der Aue 1
36262 Heringen (Werra)",Hessen,Weser,K+S KALI GmbH Werk Werra,,,893,Gewinnung von Salz,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
182379,2014,Boden,25.0,0.0,,Blei und Verbindungen (als Pb),Schwermetalle,,20.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98085274575313,50.839191445938,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
78243,2010,Boden,25.0,0.0,,Blei und Verbindungen (als Pb),Schwermetalle,,20.0,Messung,ALT,Werk Werra Standort Wintershall,06-90032200632,9.99588482432175,50.8935607742404,"In der Aue 1
36262 Heringen (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,893,Gewinnung von Salz,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
78242,2010,Boden,30.0,0.0,,Blei und Verbindungen (als Pb),Schwermetalle,,20.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98088453866135,50.8391672174092,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,893,Gewinnung von Salz,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
178264,2013,Boden,24.0,0.0,,Blei und Verbindungen (als Pb),Schwermetalle,,20.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98085274575313,50.839191445938,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
50751,2008,Boden,213.0,0.0,,Zink und Verbindungen (als Zn),Schwermetalle,,100.0,Messung,CRM,Werk Neuhof-Ellers,06-90030210631,9.59918051730954,50.459291518217,"Am Kaliwerk 6
36119 Neuhof",Hessen,Weser,K+S KALI GmbH,,,893,Gewinnung von Salz,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
178264,2013,Boden,531.0,0.0,,Zink und Verbindungen (als Zn),Schwermetalle,,100.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98085274575313,50.839191445938,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
50753,2008,Boden,941.0,0.0,,Zink und Verbindungen (als Zn),Schwermetalle,,100.0,Messung,ALT,Werk Werra Standort Wintershall,06-90032200632,9.99588482432175,50.8935607742404,"In der Aue 1
36262 Heringen (Werra)",Hessen,Weser,K+S KALI GmbH Werk Werra,,,893,Gewinnung von Salz,Untertage-Bergbau und damit verbundene Tätigkeiten,,Mineralverarbeitende Industrie
54780,2009,Boden,923.0,0.0,,Zink und Verbindungen (als Zn),Schwermetalle,,100.0,Messung,ALT,Werk Werra Standort Hattorf,06-90031210632,9.98088453866135,50.8391672174092,"Hattorfer Straße -
36269 Philippsthal (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,893,Gewinnung von Salz,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
54814,2009,Boden,554.0,0.0,,Zink und Verbindungen (als Zn),Schwermetalle,,100.0,Messung,ALT,Werk Werra Standort Wintershall,06-90032200632,9.99588482432175,50.8935607742404,"In der Aue 1
36262 Heringen (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,893,Gewinnung von Salz,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
157884,2012,Boden,394.0,0.0,,Zink und Verbindungen (als Zn),Schwermetalle,,100.0,Messung,ALT,Werk Werra Standort Wintershall,06-90032200632,9.99585860923971,50.8935887965668,"In der Aue 1
36262 Heringen (Werra)",Hessen,Weser,K+S AG,K+S KALI GmbH,K+S KALI GmbH,891,Bergbau auf chemische und Düngemittelminerale,Untertage-Bergbau und damit verbundene Tätigkeiten,Keine IVU-Tätigkeit,Mineralverarbeitende Industrie
